,name_img,label_codificado
0,img_9639.jpg,0 32 33
1,img_17504.jpg,0 1 27 49
2,img_6585.jpg,0 13 14 22
3,img_9375.jpg,0 4 31
4,img_4716.jpg,0 13 16 19
5,img_17353.jpg,0 1 2 48
6,img_4167.jpg,0 13 16 18
7,img_9494.jpg,0 4 31
8,img_8759.jpg,0 4 30
9,img_7733.jpg,0 1 25 26
10,img_3570.jpg,0 13 16 17
11,img_13754.jpg,0 1 2 41
12,img_14556.jpg,0 8 43
13,img_8783.jpg,0 4 30
14,img_15828.jpg,0 1 27 46
15,img_10559.jpg,0 1 23 34
16,img_15902.jpg,0 1 27 46
17,img_19507.jpg,51 52 55
18,img_19577.jpg,51 52 55
19,img_4985.jpg,0 13 16 20
20,img_16024.jpg,0 1 27 46
21,img_16747.jpg,0 36 47
22,img_2642.jpg,6 12
23,img_4212.jpg,0 13 16 18
24,img_9246.jpg,0 4 31
25,img_15783.jpg,0 1 27 46
26,img_9432.jpg,0 4 31
27,img_11104.jpg,0 1 25 35
28,img_9671.jpg,0 32 33
29,img_6910.jpg,0 1 23 24
30,img_11811.jpg,0 1 25 38
31,img_17387.jpg,0 1 2 48
32,img_5073.jpg,0 13 16 20
33,img_5200.jpg,0 13 16 20
34,img_19648.jpg,51 52 55
35,img_4641.jpg,0 13 16 19
36,img_12704.jpg,0 1 25 39
37,img_11356.jpg,0 36 37
38,img_14957.jpg,0 8 43
39,img_9735.jpg,0 32 33
40,img_2611.jpg,6 12
41,img_4695.jpg,0 13 16 19
42,img_18308.jpg,51 52 53
43,img_18238.jpg,51 52 53
44,img_17197.jpg,0 1 2 48
45,img_5043.jpg,0 13 16 20
46,img_1950.jpg,0 8 11
47,img_5182.jpg,0 13 16 20
48,img_1868.jpg,0 8 11
49,img_19131.jpg,51 52 54
50,img_11835.jpg,0 1 25 38
51,img_14243.jpg,0 1 25 42
52,img_12374.jpg,0 1 25 39
53,img_5880.jpg,0 13 14 21
54,img_9334.jpg,0 4 31
55,img_7287.jpg,0 1 25 26
56,img_19733.jpg,51 52 55
57,img_10267.jpg,0 1 23 34
58,img_3972.jpg,0 13 16 18
59,img_13318.jpg,0 1 2 41
60,img_2166.jpg,0 8 11
61,img_18222.jpg,0 1 27 50
62,img_15259.jpg,0 44 45
63,img_3383.jpg,0 13 16 17
64,img_9704.jpg,0 32 33
65,img_16108.jpg,0 1 27 27
66,img_9551.jpg,0 4 31
67,img_1901.jpg,0 8 11
68,img_4677.jpg,0 13 16 19
69,img_2653.jpg,6 12
70,img_12492.jpg,0 1 25 39
71,img_6522.jpg,0 13 14 22
72,img_15609.jpg,0 1 27 46
73,img_18206.jpg,0 1 27 50
74,img_1282.jpg,0 8 9
75,img_15501.jpg,0 1 27 46
76,img_3559.jpg,0 13 16 17
77,img_10927.jpg,0 1 25 35
78,img_1517.jpg,6 10
79,img_134.jpg,0 1 2 3
80,img_15740.jpg,0 1 27 46
81,img_3077.jpg,0 13 14 15
82,img_9653.jpg,0 32 33
83,img_14242.jpg,0 1 25 42
84,img_1371.jpg,6 10
85,img_8999.jpg,0 4 30
86,img_16523.jpg,0 36 47
87,img_6124.jpg,0 13 14 21
88,img_6614.jpg,0 13 14 22
89,img_16895.jpg,0 1 2 48
90,img_9059.jpg,0 4 30
91,img_18159.jpg,0 1 27 50
92,img_317.jpg,0 1 2 3
93,img_16590.jpg,0 36 47
94,img_5742.jpg,0 13 16 20
95,img_7765.jpg,0 1 25 26
96,img_12016.jpg,0 1 25 38
97,img_2267.jpg,6 12
98,img_6768.jpg,0 1 23 24
99,img_587.jpg,0 4 5
100,img_16056.jpg,0 1 27 46
101,img_13383.jpg,0 1 2 41
102,img_5242.jpg,0 13 16 20
103,img_17134.jpg,0 1 2 48
104,img_6176.jpg,0 13 14 21
105,img_16527.jpg,0 36 47
106,img_8106.jpg,0 1 27 28
107,img_15340.jpg,0 44 45
108,img_5228.jpg,0 13 16 20
109,img_9331.jpg,0 4 31
110,img_19608.jpg,51 52 55
111,img_6727.jpg,0 13 14 22
112,img_11711.jpg,0 1 25 38
113,img_13125.jpg,0 1 27 40
114,img_19526.jpg,51 52 55
115,img_6422.jpg,0 13 14 22
116,img_1233.jpg,0 8 9
117,img_7635.jpg,0 1 25 26
118,img_12683.jpg,0 1 25 39
119,img_10816.jpg,0 1 25 35
120,img_1631.jpg,6 10
121,img_7404.jpg,0 1 25 26
122,img_7744.jpg,0 1 25 26
123,img_1971.jpg,0 8 11
124,img_112.jpg,0 1 2 3
125,img_13029.jpg,0 1 27 40
126,img_11107.jpg,0 1 25 35
127,img_3282.jpg,0 13 16 17
128,img_9989.jpg,0 1 23 34
129,img_11286.jpg,0 36 37
130,img_8214.jpg,0 1 27 28
131,img_9209.jpg,0 4 31
132,img_12542.jpg,0 1 25 39
133,img_6916.jpg,0 1 23 24
134,img_8170.jpg,0 1 27 28
135,img_15127.jpg,0 44 45
136,img_2855.jpg,0 13 14 15
137,img_2580.jpg,6 12
138,img_15747.jpg,0 1 27 46
139,img_48.jpg,0 1 2 3
140,img_9461.jpg,0 4 31
141,img_6573.jpg,0 13 14 22
142,img_8326.jpg,0 4 29
143,img_4506.jpg,0 13 16 19
144,img_6622.jpg,0 13 14 22
